"Name","VisualLevel","Deprecated","TID","InfoTID","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","UpgradeTimeH","UpgradeTimeM","UpgradeResource","UpgradeCost","DonateCost","DonateXP","DonateCount","AttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","DeathShowTimeMS","Projectile","AltProjectile","PreferedTargetBuilding","PreferedTargetBuildingClass","PreferredTargetNoTargeting","DeployEffect","DeployEffect2","AttackEffect","AttackEffect2","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","TargetableByGroundAndAir","AttackCount","DieEffect","DieEffect2","Animation","ProductionBuilding","IsJumper","IsTotem","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DieDamageAffectsAir","NoDieDamageForSuicide","DisableProduction","CantBeEjected","SecondaryTroop","DontSpawnSecondaryWhenEjected","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","PushbackAfterHit","Pushback","PushbackTime","PushbackHousingLimit","SummonTroop","SummonTroopCount","SummonTime","SummonCooldown","SummonEffect","SummonLimit","ConsumeDebrisOnSummonRadius","SpawnIdle","SpawnOnAttack","StrengthWeight","AuraSpell","AuraSpellLevel","SpawnWhenDamaged","SpawnWhenDamagedEffect","JumpHeightPercent","NoClipping","Squad","WallMovementCost","BurstCount","BurstDelay","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","ChainAttackDistance","ChainAttackDepth","ChainAttackFactor","ChainAttackDelay","ChainAttackDamageReductionPercent","ChainAttackEffect","PreAttackEffect","MoveStartsEffect","UndergroundEffect","UnderwaterEffect","MovingEffect","BecomesTargetableEffect","HideEffect","VillageType","UnitsInCamp","DisableDonate","ScaleByTH","EnabledByCalendar","EnabledBySuperLicence","LoseHpPerTick","LoseHpInterval","LoseHpEffect","UpgradeLevelByTH","UnlockByTH","EvolveToCharacter","EvolveEffect","EvolveOnDamageDealt","EvolveTime","CanAttackWhileMoving","PreferredMovementTarget","RetargetAfterHit","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","DamageMultiplierTarget","DamageMultiplierPercent","FrostOnHitTime","FrostOnHitPercent","DoesNotOpenCC","DefensiveTroop","DamageReductionToStorages","BunkerTroops","BunkerTroopCount1","BunkerTroopCount2","BunkerDegenerationTime","BunkerSpawnDist","HeroDamageMultiplier","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","ImmuneToHealing","PreferHeroes","ForceRetaliation","HealerWeight","DefaultSkin","DefenseBonus","SmoothJump","SpecialAbilities","SpecialAbilitiesLevel","ReflectsDamage","AvoidNoiseInAttackPositionSelection","CarryOverToNextStage","FightWithGroups","TargetGroupsRadius","TargetGroupsRange","TargetGroupsMinWeight","MergeToCharacter","MergeSearchRadius","MergeEffect","SplitEffect","InheritHealthPercentage","PreviewScenario","AltPreviewScenario","StatBars","MaxSearchRadiusForDefender","AlertRadius"
,10,,,,,,12,,250,,72,,,6000000,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,13,,270,,108,,,8000000,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,14,,290,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer",1,,"TID_ARCHER","TID_CHARACTER_INFO_ARCHER",1,2,1,300,22,6,1,,"Elixir",20000,1,,,350,1000,,8,1,,,,"sc/ui.sc","icon_unit_archer","unit_archer_big","sc/info_archer.sc",,"Arrow_small",,,,,"Archer Deploy",,"Archer Attack",,"Archer Hit",,"FALSE","TRUE","TRUE",,,"Archer Die",,"Archer","Barrack","FALSE",,,0,"TombStone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,100,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TroopArcher",,,,
,2,,,,,,1,,26,,2,,,80000,,,,,,,10,,,,,,,,,,"Arrow_small",,,,,,,,,,,,,,,,,,"Archer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,3,,29,,3,,,200000,,,,,,,13,,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,,,,,,,"Archer2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,33,,8,,,500000,,,,,,,16,,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,,,,,,,"Archer2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,40,,12,,,1000000,,,,,,,20,,,,,,,,,,"Arrow_small_elixirFire",,,,,,,,,,,,,,,,,,"Archer3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,44,,24,,,1500000,,,,,,,22,,,,,,,,,,"Arrow_small_darkElixirFire",,,,,,,,,,,,,,,,,,"Archer6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,8,,48,,36,,,2300000,,,,,,,25,,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,,,,,,,"Archer7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,9,,52,,48,,,3000000,,,,,,,28,,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,,,,,,,"Archer8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,10,,56,,84,,,4500000,,,,,,,31,,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,,,,,,,"Archer9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,12,,60,,96,,,6500000,,,,,,,34,,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,,,,,,,"Archer10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,13,,64,,120,,,9000000,,,,,,,37,,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,,,,,,,"Archer11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,14,,68,,216,,,14000000,,,,,,,40,,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,,,,,,,"Archer12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,15,,72,,,,,,,,,,,,43,,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,,,,,,,"Archer13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goblin",1,,"TID_GOBLIN","TID_CHARACTER_INFO_GOBLIN",1,4,1,400,25,7,2,,"Elixir",45000,1,,,40,1000,,11,2,,,,"sc/ui.sc","icon_unit_goblin","unit_goblin_big","sc/info_goblin.sc",,,,,"Resource",,"Goblin Deploy",,"Goblin Attack",,"Goblin Hit",,"FALSE","FALSE","TRUE",,,"Goblin Die",,"Goblin","Barrack","FALSE",,,0,"TombStone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,50,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TroopResource",,,,
,2,,,,,,1,,30,,3,,,100000,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,3,,36,,6,,,500000,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,50,,12,,,700000,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,65,,24,,,1600000,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,80,,36,,,2200000,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,8,,105,,54,,,3700000,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,10,,126,,120,,,8000000,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,13,,146,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant",1,,"TID_GIANT","TID_CHARACTER_INFO_GIANT",5,3,1,150,400,30,2,,"Elixir",40000,3,,,100,2000,,12,1,,,,"sc/ui.sc","icon_unit_giant","unit_giant_big","sc/info_giant.sc",,,,,"Defense",,"Giant Deploy",,"Giant Attack",,"Giant Hit",,"FALSE","FALSE","TRUE",,,"Giant Die",,"Giant","Barrack","FALSE",,,0,"TombStone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,500,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TroopDefenseGround",,,,
,2,,,,,,2,,500,,4,,,150000,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,4,,600,,6,,,400000,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giant2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,700,,12,,,800000,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giant2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,900,,24,,,1500000,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giant3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,1100,,36,,,2300000,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giant6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,8,,1300,,48,,,2600000,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giant7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
